chunk_id,section_id,report_id,year,chunk_index,heading,theme,start_pdf_page,end_pdf_page,word_count
R2007_S017_C001,R2007_S017,R2007,2007,1,Japan Schweiz Sverige Norge Österrike Danmark 0 5 10 15 20,ovrigt,27,61,853
R2007_S017_C002,R2007_S017,R2007,2007,2,Japan Schweiz Sverige Norge Österrike Danmark 0 5 10 15 20,ovrigt,27,61,858
R2007_S017_C003,R2007_S017,R2007,2007,3,Japan Schweiz Sverige Norge Österrike Danmark 0 5 10 15 20,ovrigt,27,61,855
R2007_S017_C004,R2007_S017,R2007,2007,4,Japan Schweiz Sverige Norge Österrike Danmark 0 5 10 15 20,ovrigt,27,61,850
R2007_S017_C005,R2007_S017,R2007,2007,5,Japan Schweiz Sverige Norge Österrike Danmark 0 5 10 15 20,ovrigt,27,61,852
R2007_S017_C006,R2007_S017,R2007,2007,6,Japan Schweiz Sverige Norge Österrike Danmark 0 5 10 15 20,ovrigt,27,61,869
R2007_S017_C007,R2007_S017,R2007,2007,7,Japan Schweiz Sverige Norge Österrike Danmark 0 5 10 15 20,ovrigt,27,61,332
R2007_S018_C001,R2007_S018,R2007,2007,1,Norge Cypern Storbritannien Finland Danmark Frankrike Spain Österrike Italien Tjekien Slovakien Grekland Estland Rumänien Bulgarien Slovenien Tyskland Ungern Lettland Litauen Polen Portugal 60 50 40 30 20 10 0 0 10 20 30 40 50,jamlikhet_och_minoritetsperspektiv,62,73,881
R2007_S018_C002,R2007_S018,R2007,2007,2,Norge Cypern Storbritannien Finland Danmark Frankrike Spain Österrike Italien Tjekien Slovakien Grekland Estland Rumänien Bulgarien Slovenien Tyskland Ungern Lettland Litauen Polen Portugal 60 50 40 30 20 10 0 0 10 20 30 40 50,jamlikhet_och_minoritetsperspektiv,62,73,655
R2007_S019_C001,R2007_S019,R2007,2007,1,4.2 Resultatindikatorer – Social omsorg och service,metod_indikatorer_och_datakallor,74,81,862
R2007_S019_C002,R2007_S019,R2007,2007,2,4.2 Resultatindikatorer – Social omsorg och service,metod_indikatorer_och_datakallor,74,81,569
R2007_S020_C001,R2007_S020,R2007,2007,1,"kommuner och kommuner med låga, medelhöga och höga standardkostnader. Skill­ naderna mellan bästa och sämsta värde på indikatorerna är påfallande stora. För fall­ skador varierar t.ex. frekvensen från bästa värde, 47 fallskador per 1 000 invånare",lakemedel_och_patientsakerhet,82,84,336
R2007_S021_C001,R2007_S021,R2007,2007,1,4.3 Resursindikatorer – Personal,personal_kompetens_och_resurser,85,101,842
R2007_S021_C002,R2007_S021,R2007,2007,2,4.3 Resursindikatorer – Personal,personal_kompetens_och_resurser,85,101,857
R2007_S021_C003,R2007_S021,R2007,2007,3,4.3 Resursindikatorer – Personal,personal_kompetens_och_resurser,85,101,625
R2007_S022_C001,R2007_S022,R2007,2007,1,19 17 6,ovrigt,102,102,106
R2007_S023_C001,R2007_S023,R2007,2007,1,4.4 Resursindikatorer – Kostnader,personal_kompetens_och_resurser,103,122,858
R2007_S023_C002,R2007_S023,R2007,2007,2,4.4 Resursindikatorer – Kostnader,personal_kompetens_och_resurser,103,122,849
R2007_S023_C003,R2007_S023,R2007,2007,3,4.4 Resursindikatorer – Kostnader,personal_kompetens_och_resurser,103,122,854
R2007_S023_C004,R2007_S023,R2007,2007,4,4.4 Resursindikatorer – Kostnader,personal_kompetens_och_resurser,103,122,422
R2007_S024_C001,R2007_S024,R2007,2007,1,4.5 Resursindikatorer – Äldreomsorgens innehåll,omsorgsinsatser_och_boende,123,134,848
R2007_S024_C002,R2007_S024,R2007,2007,2,4.5 Resursindikatorer – Äldreomsorgens innehåll,omsorgsinsatser_och_boende,123,134,813
R2007_S025_C001,R2007_S025,R2007,2007,1,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,869
R2007_S025_C002,R2007_S025,R2007,2007,2,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,948
R2007_S025_C003,R2007_S025,R2007,2007,3,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,988
R2007_S025_C004,R2007_S025,R2007,2007,4,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,976
R2007_S025_C005,R2007_S025,R2007,2007,5,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,988
R2007_S025_C006,R2007_S025,R2007,2007,6,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,987
R2007_S025_C007,R2007_S025,R2007,2007,7,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,990
R2007_S025_C008,R2007_S025,R2007,2007,8,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,987
R2007_S025_C009,R2007_S025,R2007,2007,9,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,996
R2007_S025_C010,R2007_S025,R2007,2007,10,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,990
R2007_S025_C011,R2007_S025,R2007,2007,11,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,969
R2007_S025_C012,R2007_S025,R2007,2007,12,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,992
R2007_S025_C013,R2007_S025,R2007,2007,13,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,986
R2007_S025_C014,R2007_S025,R2007,2007,14,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,990
R2007_S025_C015,R2007_S025,R2007,2007,15,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,986
R2007_S025_C016,R2007_S025,R2007,2007,16,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,995
R2007_S025_C017,R2007_S025,R2007,2007,17,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,986
R2007_S025_C018,R2007_S025,R2007,2007,18,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,968
R2007_S025_C019,R2007_S025,R2007,2007,19,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,987
R2007_S025_C020,R2007_S025,R2007,2007,20,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,988
R2007_S025_C021,R2007_S025,R2007,2007,21,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,989
R2007_S025_C022,R2007_S025,R2007,2007,22,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,987
R2007_S025_C023,R2007_S025,R2007,2007,23,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,994
R2007_S025_C024,R2007_S025,R2007,2007,24,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,989
R2007_S025_C025,R2007_S025,R2007,2007,25,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,967
R2007_S025_C026,R2007_S025,R2007,2007,26,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,978
R2007_S025_C027,R2007_S025,R2007,2007,27,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,970
R2007_S025_C028,R2007_S025,R2007,2007,28,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",metod_indikatorer_och_datakallor,135,156,216
R2008_S001_C001,R2008_S001,R2008,2008,1,9. andel avlidna på sjukhus 5,ovrigt,3,3,10
R2008_S002_C001,R2008_S002,R2008,2008,1,kommuner att jämföra sig med. KapItel,ovrigt,4,4,2
R2008_S003_C001,R2008_S003,R2008,2008,1,2. kommunenS roll och anSvar fÖr älDreomSorgen 1,ovrigt,5,5,283
R2008_S004_C001,R2008_S004,R2008,2008,1,Kostnader,personal_kompetens_och_resurser,6,6,184
R2008_S005_C001,R2008_S005,R2008,2008,1,Bakgrundsmått,brukarperspektiv_och_kvalitet,7,7,165
R2008_S006_C001,R2008_S006,R2008,2008,1,3. SvenSk vårD och omSorg om älDre i ett internationellt perSpektiv 1,ovrigt,8,12,852
R2008_S006_C002,R2008_S006,R2008,2008,2,3. SvenSk vårD och omSorg om älDre i ett internationellt perSpektiv 1,ovrigt,8,12,854
R2008_S006_C003,R2008_S006,R2008,2008,3,3. SvenSk vårD och omSorg om älDre i ett internationellt perSpektiv 1,ovrigt,8,12,270
R2008_S007_C001,R2008_S007,R2008,2008,1,Syfte och avgränsningar,ovrigt,13,13,495
R2008_S008_C001,R2008_S008,R2008,2008,1,Rapportens disposition,ovrigt,14,15,472
R2008_S009_C001,R2008_S009,R2008,2008,1,Ansvarsfördelning av hälso- och sjukvård,kommunal_halso_och_sjukvard,16,18,856
R2008_S009_C002,R2008_S009,R2008,2008,2,Ansvarsfördelning av hälso- och sjukvård,kommunal_halso_och_sjukvard,16,18,202
R2008_S010_C001,R2008_S010,R2008,2008,1,Den demografiska utmaningen,demografi_och_aktuell_utveckling,19,20,379
R2008_S011_C001,R2008_S011,R2008,2008,1,Äldres levnadsstandard,ovrigt,21,22,377
R2008_S012_C001,R2008_S012,R2008,2008,1,Äldreomsorgens kostnader,personal_kompetens_och_resurser,23,23,145
R2008_S013_C001,R2008_S013,R2008,2008,1,Äldres hälsa,ovrigt,24,26,652
R2008_S014_C001,R2008_S014,R2008,2008,1,4. metoD,metod_indikatorer_och_datakallor,27,27,127
R2008_S015_C001,R2008_S015,R2008,2008,1,Indikatorer,metod_indikatorer_och_datakallor,28,29,765
R2008_S016_C001,R2008_S016,R2008,2008,1,Utveckling pågår,ovrigt,30,31,639
R2008_S017_C001,R2008_S017,R2008,2008,1,5. JämfÖrelSer mellan kommuner,ovrigt,32,32,170
R2008_S018_C001,R2008_S018,R2008,2008,1,resultatindiktorer,ovrigt,33,36,841
R2008_S018_C002,R2008_S018,R2008,2008,2,resultatindiktorer,ovrigt,33,36,208
R2008_S019_C001,R2008_S019,R2008,2008,1,2. väntetid till särskilt boende,omsorgsinsatser_och_boende,37,38,431
R2008_S020_C001,R2008_S020,R2008,2008,1,3. äldreboendeindex,ovrigt,39,40,321
R2008_S021_C001,R2008_S021,R2008,2008,1,4. andel nöjda i särskilt boende,omsorgsinsatser_och_boende,41,42,399
R2008_S022_C001,R2008_S022,R2008,2008,1,Insatser i ordinärt boende,omsorgsinsatser_och_boende,43,45,819
R2008_S023_C001,R2008_S023,R2008,2008,1,6. andel nöjda brukare med hemtjänsten,omsorgsinsatser_och_boende,46,47,446
R2008_S024_C001,R2008_S024,R2008,2008,1,7 . Fallskador,lakemedel_och_patientsakerhet,48,50,755
R2008_S025_C001,R2008_S025,R2008,2008,1,Medicinskt stöd i äldreomsorgen,ovrigt,51,53,825
R2008_S026_C001,R2008_S026,R2008,2008,1,Läkemedelsförskrivningar,lakemedel_och_patientsakerhet,54,54,172
R2008_S027_C001,R2008_S027,R2008,2008,1,1 0. samtidig förskrivning av tre eller fler psykofarmaka,ovrigt,55,58,855
R2008_S028_C001,R2008_S028,R2008,2008,1,1 1 . Förskrivning av riskfyllda läkemedelskombinationer,lakemedel_och_patientsakerhet,59,60,363
R2008_S029_C001,R2008_S029,R2008,2008,1,1 2. Förskrivning av tio eller fler läkemedel,lakemedel_och_patientsakerhet,61,63,577
R2008_S030_C001,R2008_S030,R2008,2008,1,Stöd till personer som drabbats av stroke,ovrigt,64,65,509
R2008_S031_C001,R2008_S031,R2008,2008,1,1 4. Funktionsförmåga tre månader efter stroke,jamlikhet_och_minoritetsperspektiv,66,67,383
R2008_S032_C001,R2008_S032,R2008,2008,1,1 5. andel nöjda med stödet från kommunen eller sjukvården efter sjukhusvistelsen,brukarperspektiv_och_kvalitet,68,70,654
R2008_S033_C001,R2008_S033,R2008,2008,1,Vård i livets slutskede,ovrigt,71,72,474
R2008_S034_C001,R2008_S034,R2008,2008,1,1 6. Informerande samtal med döende,ovrigt,73,74,504
R2008_S035_C001,R2008_S035,R2008,2008,1,1 7 . ensam i dödsögonblicket,ovrigt,75,78,623
R2008_S036_C001,R2008_S036,R2008,2008,1,resursindiktorer,ovrigt,79,79,355
R2008_S037_C001,R2008_S037,R2008,2008,1,1 9. personal med vård och omsorgsutbildning på gymnasienivå,personal_kompetens_och_resurser,80,80,49
R2008_S038_C001,R2008_S038,R2008,2008,1,20.personal med eftergymnasial vård- och omsorgsutbildning,personal_kompetens_och_resurser,81,82,290
R2008_S039_C001,R2008_S039,R2008,2008,1,Kostnader,personal_kompetens_och_resurser,83,83,226
R2008_S040_C001,R2008_S040,R2008,2008,1,2 1 . avvikelse från standardkostnaden,ovrigt,84,85,440
R2008_S041_C001,R2008_S041,R2008,2008,1,Bakgrundsmått,brukarperspektiv_och_kvalitet,86,87,461
R2008_S042_C001,R2008_S042,R2008,2008,1,Omfattningen av äldreomsorgen,ovrigt,88,156,855
R2008_S042_C002,R2008_S042,R2008,2008,2,Omfattningen av äldreomsorgen,ovrigt,88,156,853
R2008_S042_C003,R2008_S042,R2008,2008,3,Omfattningen av äldreomsorgen,ovrigt,88,156,843
R2008_S042_C004,R2008_S042,R2008,2008,4,Omfattningen av äldreomsorgen,ovrigt,88,156,780
R2008_S042_C005,R2008_S042,R2008,2008,5,Omfattningen av äldreomsorgen,ovrigt,88,156,571
R2008_S042_C006,R2008_S042,R2008,2008,6,Omfattningen av äldreomsorgen,ovrigt,88,156,616
R2008_S042_C007,R2008_S042,R2008,2008,7,Omfattningen av äldreomsorgen,ovrigt,88,156,722
R2008_S042_C008,R2008_S042,R2008,2008,8,Omfattningen av äldreomsorgen,ovrigt,88,156,526
R2008_S042_C009,R2008_S042,R2008,2008,9,Omfattningen av äldreomsorgen,ovrigt,88,156,551
R2008_S042_C010,R2008_S042,R2008,2008,10,Omfattningen av äldreomsorgen,ovrigt,88,156,690
R2008_S042_C011,R2008_S042,R2008,2008,11,Omfattningen av äldreomsorgen,ovrigt,88,156,594
R2008_S042_C012,R2008_S042,R2008,2008,12,Omfattningen av äldreomsorgen,ovrigt,88,156,552
R2008_S042_C013,R2008_S042,R2008,2008,13,Omfattningen av äldreomsorgen,ovrigt,88,156,719
R2008_S042_C014,R2008_S042,R2008,2008,14,Omfattningen av äldreomsorgen,ovrigt,88,156,638
R2008_S042_C015,R2008_S042,R2008,2008,15,Omfattningen av äldreomsorgen,ovrigt,88,156,441
R2008_S042_C016,R2008_S042,R2008,2008,16,Omfattningen av äldreomsorgen,ovrigt,88,156,585
R2008_S042_C017,R2008_S042,R2008,2008,17,Omfattningen av äldreomsorgen,ovrigt,88,156,697
R2008_S042_C018,R2008_S042,R2008,2008,18,Omfattningen av äldreomsorgen,ovrigt,88,156,574
R2008_S042_C019,R2008_S042,R2008,2008,19,Omfattningen av äldreomsorgen,ovrigt,88,156,606
R2008_S042_C020,R2008_S042,R2008,2008,20,Omfattningen av äldreomsorgen,ovrigt,88,156,701
R2008_S042_C021,R2008_S042,R2008,2008,21,Omfattningen av äldreomsorgen,ovrigt,88,156,590
R2008_S042_C022,R2008_S042,R2008,2008,22,Omfattningen av äldreomsorgen,ovrigt,88,156,544
R2008_S042_C023,R2008_S042,R2008,2008,23,Omfattningen av äldreomsorgen,ovrigt,88,156,704
R2008_S042_C024,R2008_S042,R2008,2008,24,Omfattningen av äldreomsorgen,ovrigt,88,156,678
R2008_S042_C025,R2008_S042,R2008,2008,25,Omfattningen av äldreomsorgen,ovrigt,88,156,578
R2008_S042_C026,R2008_S042,R2008,2008,26,Omfattningen av äldreomsorgen,ovrigt,88,156,668
R2008_S042_C027,R2008_S042,R2008,2008,27,Omfattningen av äldreomsorgen,ovrigt,88,156,715
R2008_S042_C028,R2008_S042,R2008,2008,28,Omfattningen av äldreomsorgen,ovrigt,88,156,555
R2008_S042_C029,R2008_S042,R2008,2008,29,Omfattningen av äldreomsorgen,ovrigt,88,156,581
R2008_S042_C030,R2008_S042,R2008,2008,30,Omfattningen av äldreomsorgen,ovrigt,88,156,692
R2008_S042_C031,R2008_S042,R2008,2008,31,Omfattningen av äldreomsorgen,ovrigt,88,156,642
R2008_S042_C032,R2008_S042,R2008,2008,32,Omfattningen av äldreomsorgen,ovrigt,88,156,728
R2008_S042_C033,R2008_S042,R2008,2008,33,Omfattningen av äldreomsorgen,ovrigt,88,156,984
R2008_S042_C034,R2008_S042,R2008,2008,34,Omfattningen av äldreomsorgen,ovrigt,88,156,750
R2008_S042_C035,R2008_S042,R2008,2008,35,Omfattningen av äldreomsorgen,ovrigt,88,156,585
R2008_S042_C036,R2008_S042,R2008,2008,36,Omfattningen av äldreomsorgen,ovrigt,88,156,988
R2008_S042_C037,R2008_S042,R2008,2008,37,Omfattningen av äldreomsorgen,ovrigt,88,156,927
R2008_S042_C038,R2008_S042,R2008,2008,38,Omfattningen av äldreomsorgen,ovrigt,88,156,526
R2008_S042_C039,R2008_S042,R2008,2008,39,Omfattningen av äldreomsorgen,ovrigt,88,156,843
R2008_S042_C040,R2008_S042,R2008,2008,40,Omfattningen av äldreomsorgen,ovrigt,88,156,978
R2008_S042_C041,R2008_S042,R2008,2008,41,Omfattningen av äldreomsorgen,ovrigt,88,156,697
R2008_S042_C042,R2008_S042,R2008,2008,42,Omfattningen av äldreomsorgen,ovrigt,88,156,719
R2008_S042_C043,R2008_S042,R2008,2008,43,Omfattningen av äldreomsorgen,ovrigt,88,156,990
R2008_S042_C044,R2008_S042,R2008,2008,44,Omfattningen av äldreomsorgen,ovrigt,88,156,817
R2008_S042_C045,R2008_S042,R2008,2008,45,Omfattningen av äldreomsorgen,ovrigt,88,156,561
R2008_S042_C046,R2008_S042,R2008,2008,46,Omfattningen av äldreomsorgen,ovrigt,88,156,984
R2008_S042_C047,R2008_S042,R2008,2008,47,Omfattningen av äldreomsorgen,ovrigt,88,156,938
R2008_S042_C048,R2008_S042,R2008,2008,48,Omfattningen av äldreomsorgen,ovrigt,88,156,488
R2008_S042_C049,R2008_S042,R2008,2008,49,Omfattningen av äldreomsorgen,ovrigt,88,156,835
R2008_S042_C050,R2008_S042,R2008,2008,50,Omfattningen av äldreomsorgen,ovrigt,88,156,988
R2008_S042_C051,R2008_S042,R2008,2008,51,Omfattningen av äldreomsorgen,ovrigt,88,156,648
R2008_S042_C052,R2008_S042,R2008,2008,52,Omfattningen av äldreomsorgen,ovrigt,88,156,727
R2008_S042_C053,R2008_S042,R2008,2008,53,Omfattningen av äldreomsorgen,ovrigt,88,156,993
R2008_S042_C054,R2008_S042,R2008,2008,54,Omfattningen av äldreomsorgen,ovrigt,88,156,769
R2008_S042_C055,R2008_S042,R2008,2008,55,Omfattningen av äldreomsorgen,ovrigt,88,156,778
R2008_S042_C056,R2008_S042,R2008,2008,56,Omfattningen av äldreomsorgen,ovrigt,88,156,839
R2008_S042_C057,R2008_S042,R2008,2008,57,Omfattningen av äldreomsorgen,ovrigt,88,156,870
R2008_S042_C058,R2008_S042,R2008,2008,58,Omfattningen av äldreomsorgen,ovrigt,88,156,872
R2008_S042_C059,R2008_S042,R2008,2008,59,Omfattningen av äldreomsorgen,ovrigt,88,156,853
R2008_S042_C060,R2008_S042,R2008,2008,60,Omfattningen av äldreomsorgen,ovrigt,88,156,858
R2008_S042_C061,R2008_S042,R2008,2008,61,Omfattningen av äldreomsorgen,ovrigt,88,156,866
R2008_S042_C062,R2008_S042,R2008,2008,62,Omfattningen av äldreomsorgen,ovrigt,88,156,846
R2008_S042_C063,R2008_S042,R2008,2008,63,Omfattningen av äldreomsorgen,ovrigt,88,156,862
R2008_S042_C064,R2008_S042,R2008,2008,64,Omfattningen av äldreomsorgen,ovrigt,88,156,881
R2008_S042_C065,R2008_S042,R2008,2008,65,Omfattningen av äldreomsorgen,ovrigt,88,156,869
R2008_S042_C066,R2008_S042,R2008,2008,66,Omfattningen av äldreomsorgen,ovrigt,88,156,851
R2008_S042_C067,R2008_S042,R2008,2008,67,Omfattningen av äldreomsorgen,ovrigt,88,156,871
R2008_S042_C068,R2008_S042,R2008,2008,68,Omfattningen av äldreomsorgen,ovrigt,88,156,871
