section_id,report_id,year,section_index,heading,all_headings_same_start,heading_sources,theme,start_pdf_page,end_pdf_page,word_count,section_text_path
R2008_S005,R2008,2008,5,Bakgrundsmått,1 8. eftersamtal med närstående 7 | Andel nöjda med stödet från kommunen eller sjukvården efter sjukhusvistelsen | Avvikelse från standardkostnaden | Bakgrundsmått | Eftersamtal med närstående | Ensam i dödsögonblicket | Förskrivning av tio eller fler läkemedel | Funktionsförmåga tre månader efter stroke | Hälsotillstånd tre månader efter stroke | Informerande samtal med döende | Kostnader för särskilt boende och för insatser i ordinärt boende | Omfattningen av äldreomsorgen | Personal med eftergymnasial vård- och omsorgsutbildning | Personal med vård- och omsorgsutbildning på gymnasienivå | Personalens kompetens | Stöd till personer som drabbats av stroke | Vård i livets slutskede,toc | xlsx_heading_search,brukarperspektiv_och_kvalitet,7,7,165,data/corpus_2026/texts/sections/2008/R2008_S005_bakgrundsmatt.txt
R2008_S006,R2008,2008,6,3. SvenSk vårD och omSorg om älDre i ett internationellt perSpektiv 1,3. SvenSk vårD och omSorg om älDre i ett internationellt perSpektiv 1 | Sammanfattning,toc,ovrigt,8,12,1775,data/corpus_2026/texts/sections/2008/R2008_S006_3-svensk-vard-och-omsorg-om-aldre-i-ett-internatio.txt
R2008_S007,R2008,2008,7,Syfte och avgränsningar,boende i särskilda boendeformer bodde den 1 oktober 2007 i särskilt boende eller korttidsboende som drevs i enskild regi. Motsvarande andel uppgick år 2000 till | Syfte och avgränsningar,toc,ovrigt,13,13,495,data/corpus_2026/texts/sections/2008/R2008_S007_syfte-och-avgransningar.txt
R2008_S008,R2008,2008,8,Rapportens disposition,Rapportens disposition,toc,ovrigt,14,15,472,data/corpus_2026/texts/sections/2008/R2008_S008_rapportens-disposition.txt
R2008_S009,R2008,2008,9,Ansvarsfördelning av hälso- och sjukvård,Ansvarsfördelning av hälso- och sjukvård,toc,kommunal_halso_och_sjukvard,16,18,959,data/corpus_2026/texts/sections/2008/R2008_S009_ansvarsfordelning-av-halso-och-sjukvard.txt
R2008_S010,R2008,2008,10,Den demografiska utmaningen,Den demografiska utmaningen,toc,demografi_och_aktuell_utveckling,19,20,379,data/corpus_2026/texts/sections/2008/R2008_S010_den-demografiska-utmaningen.txt
R2008_S011,R2008,2008,11,Äldres levnadsstandard,Äldres levnadsstandard,toc,ovrigt,21,22,377,data/corpus_2026/texts/sections/2008/R2008_S011_aldres-levnadsstandard.txt
R2008_S012,R2008,2008,12,Äldreomsorgens kostnader,Äldreomsorgens kostnader,toc,personal_kompetens_och_resurser,23,23,145,data/corpus_2026/texts/sections/2008/R2008_S012_aldreomsorgens-kostnader.txt
R2008_S013,R2008,2008,13,Äldres hälsa,Äldres hälsa,toc,ovrigt,24,26,652,data/corpus_2026/texts/sections/2008/R2008_S013_aldres-halsa.txt
R2008_S014,R2008,2008,14,4. metoD,4. metoD,toc,metod_indikatorer_och_datakallor,27,27,127,data/corpus_2026/texts/sections/2008/R2008_S014_4-metod.txt
R2008_S015,R2008,2008,15,Indikatorer,Indikatorer,toc,metod_indikatorer_och_datakallor,28,29,765,data/corpus_2026/texts/sections/2008/R2008_S015_indikatorer.txt
R2008_S016,R2008,2008,16,Utveckling pågår,Utveckling pågår,toc,ovrigt,30,31,639,data/corpus_2026/texts/sections/2008/R2008_S016_utveckling-pagar.txt
R2008_S017,R2008,2008,17,5. JämfÖrelSer mellan kommuner,5. JämfÖrelSer mellan kommuner,toc,ovrigt,32,32,170,data/corpus_2026/texts/sections/2008/R2008_S017_5-jamforelser-mellan-kommuner.txt
R2008_S018,R2008,2008,18,resultatindiktorer,Kommunens information äldreomsorg | resultatindiktorer,toc,ovrigt,33,36,944,data/corpus_2026/texts/sections/2008/R2008_S018_resultatindiktorer.txt
R2008_S019,R2008,2008,19,2. väntetid till särskilt boende,2. väntetid till särskilt boende | Social omsorg och service i särskilt boende,toc,omsorgsinsatser_och_boende,37,38,431,data/corpus_2026/texts/sections/2008/R2008_S019_2-vantetid-till-sarskilt-boende.txt
R2008_S020,R2008,2008,20,3. äldreboendeindex,3. äldreboendeindex,toc,ovrigt,39,40,321,data/corpus_2026/texts/sections/2008/R2008_S020_3-aldreboendeindex.txt
R2008_S021,R2008,2008,21,4. andel nöjda i särskilt boende,4. andel nöjda i särskilt boende,toc,omsorgsinsatser_och_boende,41,42,399,data/corpus_2026/texts/sections/2008/R2008_S021_4-andel-nojda-i-sarskilt-boende.txt
R2008_S022,R2008,2008,22,Insatser i ordinärt boende,Insatser i ordinärt boende,toc,omsorgsinsatser_och_boende,43,45,819,data/corpus_2026/texts/sections/2008/R2008_S022_insatser-i-ordinart-boende.txt
R2008_S023,R2008,2008,23,6. andel nöjda brukare med hemtjänsten,6. andel nöjda brukare med hemtjänsten,toc,omsorgsinsatser_och_boende,46,47,446,data/corpus_2026/texts/sections/2008/R2008_S023_6-andel-nojda-brukare-med-hemtjansten.txt
R2008_S024,R2008,2008,24,7 . Fallskador,7 . Fallskador | Förebyggande verksamhet,toc,lakemedel_och_patientsakerhet,48,50,755,data/corpus_2026/texts/sections/2008/R2008_S024_7-fallskador.txt
R2008_S025,R2008,2008,25,Medicinskt stöd i äldreomsorgen,8. oplanerade inläggningar på sjukhus | Medicinskt stöd i äldreomsorgen,toc,ovrigt,51,53,825,data/corpus_2026/texts/sections/2008/R2008_S025_medicinskt-stod-i-aldreomsorgen.txt
R2008_S026,R2008,2008,26,Läkemedelsförskrivningar,Läkemedelsförskrivningar,toc,lakemedel_och_patientsakerhet,54,54,172,data/corpus_2026/texts/sections/2008/R2008_S026_lakemedelsforskrivningar.txt
R2008_S027,R2008,2008,27,1 0. samtidig förskrivning av tre eller fler psykofarmaka,1 0. samtidig förskrivning av tre eller fler psykofarmaka,toc,ovrigt,55,58,855,data/corpus_2026/texts/sections/2008/R2008_S027_1-0-samtidig-forskrivning-av-tre-eller-fler-psykof.txt
R2008_S028,R2008,2008,28,1 1 . Förskrivning av riskfyllda läkemedelskombinationer,1 1 . Förskrivning av riskfyllda läkemedelskombinationer,toc,lakemedel_och_patientsakerhet,59,60,363,data/corpus_2026/texts/sections/2008/R2008_S028_1-1-forskrivning-av-riskfyllda-lakemedelskombinati.txt
R2008_S029,R2008,2008,29,1 2. Förskrivning av tio eller fler läkemedel,1 2. Förskrivning av tio eller fler läkemedel,toc,lakemedel_och_patientsakerhet,61,63,577,data/corpus_2026/texts/sections/2008/R2008_S029_1-2-forskrivning-av-tio-eller-fler-lakemedel.txt
R2008_S030,R2008,2008,30,Stöd till personer som drabbats av stroke,1 3. hälsotillstånd tre månader efter stroke | Stöd till personer som drabbats av stroke,toc,ovrigt,64,65,509,data/corpus_2026/texts/sections/2008/R2008_S030_stod-till-personer-som-drabbats-av-stroke.txt
R2008_S031,R2008,2008,31,1 4. Funktionsförmåga tre månader efter stroke,1 4. Funktionsförmåga tre månader efter stroke,toc,jamlikhet_och_minoritetsperspektiv,66,67,383,data/corpus_2026/texts/sections/2008/R2008_S031_1-4-funktionsformaga-tre-manader-efter-stroke.txt
R2008_S032,R2008,2008,32,1 5. andel nöjda med stödet från kommunen eller sjukvården efter sjukhusvistelsen,1 5. andel nöjda med stödet från kommunen eller sjukvården efter sjukhusvistelsen,toc,brukarperspektiv_och_kvalitet,68,70,654,data/corpus_2026/texts/sections/2008/R2008_S032_1-5-andel-nojda-med-stodet-fran-kommunen-eller-sju.txt
R2008_S033,R2008,2008,33,Vård i livets slutskede,Vård i livets slutskede,toc,ovrigt,71,72,474,data/corpus_2026/texts/sections/2008/R2008_S033_vard-i-livets-slutskede.txt
R2008_S034,R2008,2008,34,1 6. Informerande samtal med döende,1 6. Informerande samtal med döende,toc,ovrigt,73,74,504,data/corpus_2026/texts/sections/2008/R2008_S034_1-6-informerande-samtal-med-doende.txt
R2008_S035,R2008,2008,35,1 7 . ensam i dödsögonblicket,1 7 . ensam i dödsögonblicket,toc,ovrigt,75,78,623,data/corpus_2026/texts/sections/2008/R2008_S035_1-7-ensam-i-dodsogonblicket.txt
R2008_S036,R2008,2008,36,resursindiktorer,Personalens kompetens | resursindiktorer,toc,ovrigt,79,79,355,data/corpus_2026/texts/sections/2008/R2008_S036_resursindiktorer.txt
R2008_S037,R2008,2008,37,1 9. personal med vård och omsorgsutbildning på gymnasienivå,1 9. personal med vård och omsorgsutbildning på gymnasienivå,toc,personal_kompetens_och_resurser,80,80,49,data/corpus_2026/texts/sections/2008/R2008_S037_1-9-personal-med-vard-och-omsorgsutbildning-pa-gym.txt
R2008_S038,R2008,2008,38,20.personal med eftergymnasial vård- och omsorgsutbildning,20.personal med eftergymnasial vård- och omsorgsutbildning,toc,personal_kompetens_och_resurser,81,82,290,data/corpus_2026/texts/sections/2008/R2008_S038_20-personal-med-eftergymnasial-vard-och-omsorgsutb.txt
R2008_S039,R2008,2008,39,Kostnader,Kostnader,toc,personal_kompetens_och_resurser,83,83,226,data/corpus_2026/texts/sections/2008/R2008_S039_kostnader.txt
R2008_S040,R2008,2008,40,2 1 . avvikelse från standardkostnaden,2 1 . avvikelse från standardkostnaden,toc,ovrigt,84,85,440,data/corpus_2026/texts/sections/2008/R2008_S040_2-1-avvikelse-fran-standardkostnaden.txt
R2008_S041,R2008,2008,41,Bakgrundsmått,Bakgrundsmått | Kostnader för särskilt boende och för insatser i ordinärt boende,toc,brukarperspektiv_och_kvalitet,86,87,461,data/corpus_2026/texts/sections/2008/R2008_S041_bakgrundsmatt.txt
R2008_S042,R2008,2008,42,Omfattningen av äldreomsorgen,Omfattningen av äldreomsorgen,toc,ovrigt,88,156,53551,data/corpus_2026/texts/sections/2008/R2008_S042_omfattningen-av-aldreomsorgen.txt
R2009_S001,R2009,2009,1,4. meto D 2,4. meto D 2 | Betydelsen av könsuppdelad statistik 1 | En nationell strategi för kvalitetsutveckling genom öppna jämförelser inom socialtjänsten och hälso- och sjukvård 1 | svarar både kommunen och landstinget för insatser inom detta område och ett bra resultat förutsätter som regel en god samverkan. KapITel | Syfte och avgränsning 1,toc,ovrigt,3,3,22,data/corpus_2026/texts/sections/2009/R2009_S001_4-meto-d-2.txt
R2009_S002,R2009,2009,2,Rapportens disposition 1,"• Hemtjänst, hjälp i hemmet med service och omvårdnad • Dagverksamhet och korttidsvård • Anhörigstöd • Särskilt boende KapITel | Rapportens disposition 1",toc,ovrigt,4,4,14,data/corpus_2026/texts/sections/2009/R2009_S002_rapportens-disposition-1.txt
R2009_S003,R2009,2009,3,KAPITEL,2. Kommunens roll och ansvar FÖ r älDreomsorg 1 | 4 öppna jämF örelser 2009 – vård och omsorg om äldre FÖror D | KAPITEL | Särskilt boende | Social omsorg och service,toc | xlsx_heading_search,ovrigt,5,5,275,data/corpus_2026/texts/sections/2009/R2009_S003_kapitel.txt
R2009_S004,R2009,2009,4,Fallskador,Brukarmedverkan i individuell plan | Brukarnas omdöme om hemtjänsten som helhet | Brukarnas omdöme om informationen från hemtjänsten | Brukarnas omdöme om informationen inom särskilt boende | Brukarnas omdöme om maten från hemtjänsten | Brukarnas omdöme om maten inom särskilt boende | Brukarnas omdöme om särskilt boende som helhet | Brukarnas omdöme om social samvaro och aktiviteter inom hemtjänsten | Fallskador | Förebyggande insatser | Kommunens information om äldreomsorg | Kommunens information om äldreomsorgen | Ordinärt boende | Personalkontinuitet inom hemtjänsten | Resultatindikatorer | Väntetid till särskilt boende,xlsx_heading_search,lakemedel_och_patientsakerhet,6,6,221,data/corpus_2026/texts/sections/2009/R2009_S004_fallskador.txt
R2009_S005,R2009,2009,5,Kostnader,Att mäta effektivitet och produktivitet inom vård och omsorg om äldre | Eftersamtal med närstående | Förskrivning av riskfyllda läkemedelskombinationer | Funktionsförmåga tre månader efter stroke | Hälsotillstånd tre månader efter stroke | Informerande samtal med döende | Kostnad för särskilt boende och för insatser i ordinärt boende | Kostnader | Medicinskt stöd i äldreomsorgen | Någon närvarande i dödsögonblicket | Omfattning av äldreomsorg | Oplanerade inläggningar på sjukhus | Personal med eftergymnasial vård- och omsorgsutbildning | Personal med vård- och omsorgsutbildning på gymnasienivå | Personalens utbildningsnivå | Resursindikatorer | Riskfylld användning av läkemedel | Smärtskattning sista levnadsveckan | Stöd i livets slutskede | Stöd till personer som har drabbats av stroke,xlsx_heading_search,personal_kompetens_och_resurser,7,7,220,data/corpus_2026/texts/sections/2009/R2009_S005_kostnader.txt
R2009_S006,R2009,2009,6,Öppna jämförelser 2009 – vård och omsorg om äldre,3. svensK vår D och omsorg om älDre i ett europeisKt perspeKtiv 1 | Öppna jämförelser 2009 – vård och omsorg om äldre | sammanFattning,toc | xlsx_heading_search,metod_indikatorer_och_datakallor,8,22,4009,data/corpus_2026/texts/sections/2009/R2009_S006_oppna-jamforelser-2009-vard-och-omsorg-om-aldre.txt
R2009_S007,R2009,2009,7,Bakgrundsmått,Bakgrundsmått,xlsx_heading_search,brukarperspektiv_och_kvalitet,23,24,536,data/corpus_2026/texts/sections/2009/R2009_S007_bakgrundsmatt.txt
R2009_S008,R2009,2009,8,Jämförelser mellan kommuner,5. Jäm FÖrelser mellan Kommuner | Jämförelser mellan kommuner,toc | xlsx_heading_search,ovrigt,25,25,186,data/corpus_2026/texts/sections/2009/R2009_S008_jamforelser-mellan-kommuner.txt
R2009_S009,R2009,2009,9,RESULTATINDIKATORER,1. Kommunens information om äldreomsorgen | Brukarnas omdöme om social samvaro och aktiviteter inom särskilt boende | Kommunens information om äldreomsorg | RESULTATINDIKATORER,toc | xlsx_heading_search,metod_indikatorer_och_datakallor,26,27,391,data/corpus_2026/texts/sections/2009/R2009_S009_resultatindikatorer.txt
R2009_S010,R2009,2009,10,Social omsorg och service,Social omsorg och service,toc,ovrigt,28,28,260,data/corpus_2026/texts/sections/2009/R2009_S010_social-omsorg-och-service.txt
R2009_S011,R2009,2009,11,2. Brukarmedverkan i individuell plan,2. Brukarmedverkan i individuell plan,toc,ovrigt,29,30,366,data/corpus_2026/texts/sections/2009/R2009_S011_2-brukarmedverkan-i-individuell-plan.txt
R2009_S012,R2009,2009,12,Särskilt boende,Särskilt boende,toc,omsorgsinsatser_och_boende,31,31,363,data/corpus_2026/texts/sections/2009/R2009_S012_sarskilt-boende.txt
R2009_S013,R2009,2009,13,3. Brukarnas omdöme om särskilt boende som helhet,3. Brukarnas omdöme om särskilt boende som helhet,toc,omsorgsinsatser_och_boende,32,33,361,data/corpus_2026/texts/sections/2009/R2009_S013_3-brukarnas-omdome-om-sarskilt-boende-som-helhet.txt
R2009_S014,R2009,2009,14,4. Brukarnas omdöme om maten inom särskilt boende,4. Brukarnas omdöme om maten inom särskilt boende,toc,omsorgsinsatser_och_boende,34,35,367,data/corpus_2026/texts/sections/2009/R2009_S014_4-brukarnas-omdome-om-maten-inom-sarskilt-boende.txt
R2009_S015,R2009,2009,15,5. Brukarnas omdöme om social samvaro och,5. Brukarnas omdöme om social samvaro och,toc,brukarperspektiv_och_kvalitet,36,37,358,data/corpus_2026/texts/sections/2009/R2009_S015_5-brukarnas-omdome-om-social-samvaro-och.txt
R2009_S016,R2009,2009,16,aktiviteter inom särskilt boende 6. Brukarnas omdöme om informationen inom särskilt boende,aktiviteter inom särskilt boende 6. Brukarnas omdöme om informationen inom särskilt boende,toc,omsorgsinsatser_och_boende,38,39,336,data/corpus_2026/texts/sections/2009/R2009_S016_aktiviteter-inom-sarskilt-boende-6-brukarnas-omdom.txt
R2009_S017,R2009,2009,17,7. väntetid till särskilt boende,7. väntetid till särskilt boende,toc,omsorgsinsatser_och_boende,40,40,245,data/corpus_2026/texts/sections/2009/R2009_S017_7-vantetid-till-sarskilt-boende.txt
R2009_S018,R2009,2009,18,Ordinärt boende,8. Brukarnas omdöme om hemtjänsten som helheten | Ordinärt boende,toc,omsorgsinsatser_och_boende,41,42,367,data/corpus_2026/texts/sections/2009/R2009_S018_ordinart-boende.txt
R2009_S019,R2009,2009,19,9. Brukarnas omdöme om maten från hemtjänsten,9. Brukarnas omdöme om maten från hemtjänsten,toc,omsorgsinsatser_och_boende,43,44,373,data/corpus_2026/texts/sections/2009/R2009_S019_9-brukarnas-omdome-om-maten-fran-hemtjansten.txt
R2009_S020,R2009,2009,20,1 0. Brukarnas omdöme om social samvaro och aktiviteter inom hemtjänsten,1 0. Brukarnas omdöme om social samvaro och aktiviteter inom hemtjänsten,toc,omsorgsinsatser_och_boende,45,47,594,data/corpus_2026/texts/sections/2009/R2009_S020_1-0-brukarnas-omdome-om-social-samvaro-och-aktivit.txt
R2009_S021,R2009,2009,21,11. Brukarnas omdöme om informationen från hemtjänsten,11. Brukarnas omdöme om informationen från hemtjänsten,toc,omsorgsinsatser_och_boende,48,48,68,data/corpus_2026/texts/sections/2009/R2009_S021_11-brukarnas-omdome-om-informationen-fran-hemtjans.txt
R2009_S022,R2009,2009,22,12. personalkontinuitet inom hemtjänsten,12. personalkontinuitet inom hemtjänsten,toc,omsorgsinsatser_och_boende,49,49,330,data/corpus_2026/texts/sections/2009/R2009_S022_12-personalkontinuitet-inom-hemtjansten.txt
R2009_S023,R2009,2009,23,Förebyggande insatser,Förebyggande insatser,toc,ovrigt,50,54,1307,data/corpus_2026/texts/sections/2009/R2009_S023_forebyggande-insatser.txt
R2009_S024,R2009,2009,24,Samtidig förskrivning av tio eller fler läkemedel,13. Fallskador 48ÖJ09ÄO.inlaga.indd 4 09-10-26 18.10.39 5öppna jämF örelser 2009 – vård och omsorg om äldre Riskfylld användning av läkemedel | 14. s amtidig förskrivning av tio eller fler läkemedel | Samtidig förskrivning av tio eller fler läkemedel | Samtidig förskrivning av tre eller fler psykofarmaka,toc | xlsx_heading_search,lakemedel_och_patientsakerhet,55,57,835,data/corpus_2026/texts/sections/2009/R2009_S024_samtidig-forskrivning-av-tio-eller-fler-lakemedel.txt
