report_id,year,heading_index,heading,source,printed_page,estimated_pdf_page,toc_pdf_page,theme
R2007,2007,35,Norge Cypern Storbritannien Finland Danmark Frankrike Spain Österrike Italien Tjekien Slovakien Grekland Estland Rumänien Bulgarien Slovenien Tyskland Ungern Lettland Litauen Polen Portugal 60 50 40 30 20 10 0 0 10 20 30 40 50,toc,60,62,17,jamlikhet_och_minoritetsperspektiv
R2007,2007,36,4.2 Resultatindikatorer – Social omsorg och service,toc,72,74,6,metod_indikatorer_och_datakallor
R2007,2007,37,"kommuner och kommuner med låga, medelhöga och höga standardkostnader. Skill­ naderna mellan bästa och sämsta värde på indikatorerna är påfallande stora. För fall­ skador varierar t.ex. frekvensen från bästa värde, 47 fallskador per 1 000 invånare",toc,80,82,7,lakemedel_och_patientsakerhet
R2007,2007,38,4.3 Resursindikatorer – Personal,toc,83,85,6,personal_kompetens_och_resurser
R2007,2007,39,19 17 6,toc,100,102,8,ovrigt
R2007,2007,40,4.4 Resursindikatorer – Kostnader,toc,101,103,6,personal_kompetens_och_resurser
R2007,2007,41,4.5 Resursindikatorer – Äldreomsorgens innehåll,toc,121,123,6,omsorgsinsatser_och_boende
R2007,2007,42,"indikatorer, göra analyser och själv välja kommuner att jämföra sig med. – Kapitel 2. Svensk äldreomsorg i ett internationellt perspektiv 2. öö ppppNNAA jjää mmFFöö rr eeLLSSeerr – ää LLdd rr eeOOmmSSOOrr 1gg",toc,133,135,15,metod_indikatorer_och_datakallor
R2008,2008,1,1 . Kommunens information om äldreomsorg 3,toc,1,3,6,brukarperspektiv_och_kvalitet
R2008,2008,2,5. personalkontinuitet i hemtjänsten 4,toc,1,3,6,omsorgsinsatser_och_boende
R2008,2008,3,9. andel avlidna på sjukhus 5,toc,1,3,6,ovrigt
R2008,2008,4,nöjda med stödet från kommunen eller sjukvården efter sjukhusvistelsen. KapItel,toc,1,3,12,brukarperspektiv_och_kvalitet
R2008,2008,5,kommuner att jämföra sig med. KapItel,toc,2,4,15,ovrigt
R2008,2008,6,2. kommunenS roll och anSvar fÖr älDreomSorgen 1,toc,3,5,6,ovrigt
R2008,2008,7,29 kommuner planerade då att införa valfrihet i särskilda boenden och 58 i hem­ tjänsten. 1 . aktuellt på äldreområdet 2007 sveriges Kommuner och landsting. KapItel,toc,3,5,18,ovrigt
R2008,2008,8,Äldreboendeindex,xlsx_heading_search,,6,,ovrigt
R2008,2008,9,Äldreomsorgens kostnader,xlsx_heading_search,,6,,personal_kompetens_och_resurser
R2008,2008,10,Äldres hälsa,xlsx_heading_search,,6,,ovrigt
R2008,2008,11,Äldres levnadsstandard,xlsx_heading_search,,6,,ovrigt
R2008,2008,12,Andel avlidna på sjukhus,xlsx_heading_search,,6,,ovrigt
R2008,2008,13,Andel nöjda brukare med hemtjänsten,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2008,2008,14,Andel nöjda i särskilt boende,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2008,2008,15,Ansvarsfördelning av hälso- och sjukvård,xlsx_heading_search,,6,,kommunal_halso_och_sjukvard
R2008,2008,16,Den demografiska utmaningen,xlsx_heading_search,,6,,demografi_och_aktuell_utveckling
R2008,2008,17,Fallskador,xlsx_heading_search,,6,,lakemedel_och_patientsakerhet
R2008,2008,18,Förebyggande verksamhet,xlsx_heading_search,,6,,ovrigt
R2008,2008,19,Förskrivning av riskfyllda läkemedelskombinationer,xlsx_heading_search,,6,,lakemedel_och_patientsakerhet
R2008,2008,20,Insatser i ordinärt boende,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2008,2008,21,Kommunens information om äldreomsorg,xlsx_heading_search,,6,,brukarperspektiv_och_kvalitet
R2008,2008,22,Kostnader,xlsx_heading_search,,6,,personal_kompetens_och_resurser
R2008,2008,23,Läkemedelsförskrivningar,xlsx_heading_search,,6,,lakemedel_och_patientsakerhet
R2008,2008,24,Medicinskt stöd i äldreomsorgen,xlsx_heading_search,,6,,ovrigt
R2008,2008,25,Oplanerade inläggningar på sjukhus,xlsx_heading_search,,6,,ovrigt
R2008,2008,26,Personalkontinuitet i hemtjänsten,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2008,2008,27,Samtidig förskrivning av tre eller fler psykofarmaka,xlsx_heading_search,,6,,ovrigt
R2008,2008,28,Social omsorg och service i särskilt boende,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2008,2008,29,Väntetid till särskilt boende,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2008,2008,30,Vård och omsorg i enskild regi,xlsx_heading_search,,6,,ovrigt
R2008,2008,31,1 8. eftersamtal med närstående 7,toc,5,7,7,ovrigt
R2008,2008,32,Andel nöjda med stödet från kommunen eller sjukvården efter sjukhusvistelsen,xlsx_heading_search,,7,,brukarperspektiv_och_kvalitet
R2008,2008,33,Avvikelse från standardkostnaden,xlsx_heading_search,,7,,ovrigt
R2008,2008,34,Bakgrundsmått,xlsx_heading_search,,7,,brukarperspektiv_och_kvalitet
R2008,2008,35,Eftersamtal med närstående,xlsx_heading_search,,7,,ovrigt
R2008,2008,36,Ensam i dödsögonblicket,xlsx_heading_search,,7,,ovrigt
R2008,2008,37,Förskrivning av tio eller fler läkemedel,xlsx_heading_search,,7,,lakemedel_och_patientsakerhet
R2008,2008,38,Funktionsförmåga tre månader efter stroke,xlsx_heading_search,,7,,jamlikhet_och_minoritetsperspektiv
R2008,2008,39,Hälsotillstånd tre månader efter stroke,xlsx_heading_search,,7,,jamlikhet_och_minoritetsperspektiv
R2008,2008,40,Informerande samtal med döende,xlsx_heading_search,,7,,ovrigt
R2008,2008,41,Kostnader för särskilt boende och för insatser i ordinärt boende,xlsx_heading_search,,7,,omsorgsinsatser_och_boende
R2008,2008,42,Omfattningen av äldreomsorgen,xlsx_heading_search,,7,,ovrigt
R2008,2008,43,Personal med eftergymnasial vård- och omsorgsutbildning,xlsx_heading_search,,7,,personal_kompetens_och_resurser
R2008,2008,44,Personal med vård- och omsorgsutbildning på gymnasienivå,xlsx_heading_search,,7,,personal_kompetens_och_resurser
R2008,2008,45,Personalens kompetens,xlsx_heading_search,,7,,personal_kompetens_och_resurser
R2008,2008,46,Stöd till personer som drabbats av stroke,xlsx_heading_search,,7,,ovrigt
R2008,2008,47,Vård i livets slutskede,xlsx_heading_search,,7,,ovrigt
R2008,2008,48,3. SvenSk vårD och omSorg om älDre i ett internationellt perSpektiv 1,toc,6,8,6,ovrigt
R2008,2008,49,Sammanfattning,toc,6,8,6,jamlikhet_och_minoritetsperspektiv
R2008,2008,50,boende i särskilda boendeformer bodde den 1 oktober 2007 i särskilt boende eller korttidsboende som drevs i enskild regi. Motsvarande andel uppgick år 2000 till,toc,11,13,17,omsorgsinsatser_och_boende
R2008,2008,51,Syfte och avgränsningar,toc,11,13,6,ovrigt
R2008,2008,52,Rapportens disposition,toc,12,14,6,ovrigt
R2008,2008,53,Ansvarsfördelning av hälso- och sjukvård,toc,14,16,6,kommunal_halso_och_sjukvard
R2008,2008,54,Den demografiska utmaningen,toc,17,19,6,demografi_och_aktuell_utveckling
R2008,2008,55,Äldres levnadsstandard,toc,19,21,6,ovrigt
R2008,2008,56,Äldreomsorgens kostnader,toc,21,23,6,personal_kompetens_och_resurser
R2008,2008,57,Äldres hälsa,toc,22,24,6,ovrigt
R2008,2008,58,4. metoD,toc,25,27,6,metod_indikatorer_och_datakallor
R2008,2008,59,Indikatorer,toc,26,28,6,metod_indikatorer_och_datakallor
R2008,2008,60,Utveckling pågår,toc,28,30,6,ovrigt
R2008,2008,61,5. JämfÖrelSer mellan kommuner,toc,30,32,6,ovrigt
R2008,2008,62,Kommunens information äldreomsorg,toc,31,33,6,brukarperspektiv_och_kvalitet
R2008,2008,63,resultatindiktorer,toc,31,33,6,ovrigt
R2008,2008,64,2. väntetid till särskilt boende,toc,35,37,6,omsorgsinsatser_och_boende
R2008,2008,65,Social omsorg och service i särskilt boende,toc,35,37,6,omsorgsinsatser_och_boende
R2008,2008,66,3. äldreboendeindex,toc,37,39,6,ovrigt
R2008,2008,67,4. andel nöjda i särskilt boende,toc,39,41,6,omsorgsinsatser_och_boende
R2008,2008,68,Insatser i ordinärt boende,toc,41,43,6,omsorgsinsatser_och_boende
R2008,2008,69,6. andel nöjda brukare med hemtjänsten,toc,44,46,6,omsorgsinsatser_och_boende
R2008,2008,70,7 . Fallskador,toc,46,48,6,lakemedel_och_patientsakerhet
R2008,2008,71,Förebyggande verksamhet,toc,46,48,6,ovrigt
R2008,2008,72,8. oplanerade inläggningar på sjukhus,toc,49,51,6,ovrigt
R2008,2008,73,Medicinskt stöd i äldreomsorgen,toc,49,51,6,ovrigt
R2008,2008,74,Läkemedelsförskrivningar,toc,52,54,6,lakemedel_och_patientsakerhet
R2008,2008,75,1 0. samtidig förskrivning av tre eller fler psykofarmaka,toc,53,55,6,ovrigt
R2008,2008,76,1 1 . Förskrivning av riskfyllda läkemedelskombinationer,toc,57,59,6,lakemedel_och_patientsakerhet
R2008,2008,77,1 2. Förskrivning av tio eller fler läkemedel,toc,59,61,7,lakemedel_och_patientsakerhet
R2008,2008,78,1 3. hälsotillstånd tre månader efter stroke,toc,62,64,7,jamlikhet_och_minoritetsperspektiv
R2008,2008,79,Stöd till personer som drabbats av stroke,toc,62,64,7,ovrigt
R2008,2008,80,1 4. Funktionsförmåga tre månader efter stroke,toc,64,66,7,jamlikhet_och_minoritetsperspektiv
R2008,2008,81,1 5. andel nöjda med stödet från kommunen eller sjukvården efter sjukhusvistelsen,toc,66,68,7,brukarperspektiv_och_kvalitet
R2008,2008,82,Vård i livets slutskede,toc,69,71,7,ovrigt
R2008,2008,83,1 6. Informerande samtal med döende,toc,71,73,7,ovrigt
R2008,2008,84,1 7 . ensam i dödsögonblicket,toc,73,75,7,ovrigt
R2008,2008,85,Personalens kompetens,toc,77,79,7,personal_kompetens_och_resurser
R2008,2008,86,resursindiktorer,toc,77,79,7,ovrigt
R2008,2008,87,1 9. personal med vård och omsorgsutbildning på gymnasienivå,toc,78,80,7,personal_kompetens_och_resurser
R2008,2008,88,20.personal med eftergymnasial vård- och omsorgsutbildning,toc,79,81,7,personal_kompetens_och_resurser
R2008,2008,89,Kostnader,toc,81,83,7,personal_kompetens_och_resurser
R2008,2008,90,2 1 . avvikelse från standardkostnaden,toc,82,84,7,ovrigt
R2008,2008,91,Bakgrundsmått,toc,84,86,7,brukarperspektiv_och_kvalitet
R2008,2008,92,Kostnader för särskilt boende och för insatser i ordinärt boende,toc,84,86,7,omsorgsinsatser_och_boende
R2008,2008,93,Omfattningen av äldreomsorgen,toc,86,88,7,ovrigt
R2009,2009,1,4. meto D 2,toc,1,3,6,ovrigt
R2009,2009,2,Betydelsen av könsuppdelad statistik 1,toc,1,3,6,ovrigt
R2009,2009,3,En nationell strategi för kvalitetsutveckling genom öppna jämförelser inom socialtjänsten och hälso- och sjukvård 1,toc,1,3,6,brukarperspektiv_och_kvalitet
R2009,2009,4,svarar både kommunen och landstinget för insatser inom detta område och ett bra resultat förutsätter som regel en god samverkan. KapITel,toc,1,3,12,sammanhallen_vard_och_samverkan
R2009,2009,5,Syfte och avgränsning 1,toc,1,3,6,ovrigt
R2009,2009,6,"• Hemtjänst, hjälp i hemmet med service och omvårdnad • Dagverksamhet och korttidsvård • Anhörigstöd • Särskilt boende KapITel",toc,2,4,15,omsorgsinsatser_och_boende
R2009,2009,7,Rapportens disposition 1,toc,2,4,6,ovrigt
R2009,2009,8,2. Kommunens roll och ansvar FÖ r älDreomsorg 1,toc,3,5,6,ovrigt
R2009,2009,9,4 öppna jämF örelser 2009 – vård och omsorg om äldre FÖror D,toc,3,5,6,ovrigt
R2009,2009,10,KAPITEL,toc,3,5,18,ovrigt
R2009,2009,11,Särskilt boende,xlsx_heading_search,,5,,omsorgsinsatser_och_boende
R2009,2009,12,Social omsorg och service,xlsx_heading_search,,5,,ovrigt
R2009,2009,13,Brukarmedverkan i individuell plan,xlsx_heading_search,,6,,ovrigt
R2009,2009,14,Brukarnas omdöme om hemtjänsten som helhet,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2009,2009,15,Brukarnas omdöme om informationen från hemtjänsten,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2009,2009,16,Brukarnas omdöme om informationen inom särskilt boende,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2009,2009,17,Brukarnas omdöme om maten från hemtjänsten,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2009,2009,18,Brukarnas omdöme om maten inom särskilt boende,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2009,2009,19,Brukarnas omdöme om särskilt boende som helhet,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2009,2009,20,Brukarnas omdöme om social samvaro och aktiviteter inom hemtjänsten,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2009,2009,21,Fallskador,xlsx_heading_search,,6,,lakemedel_och_patientsakerhet
R2009,2009,22,Förebyggande insatser,xlsx_heading_search,,6,,ovrigt
R2009,2009,23,Kommunens information om äldreomsorg,xlsx_heading_search,,6,,brukarperspektiv_och_kvalitet
R2009,2009,24,Kommunens information om äldreomsorgen,xlsx_heading_search,,6,,brukarperspektiv_och_kvalitet
R2009,2009,25,Ordinärt boende,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2009,2009,26,Personalkontinuitet inom hemtjänsten,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2009,2009,27,Resultatindikatorer,xlsx_heading_search,,6,,metod_indikatorer_och_datakallor
R2009,2009,28,Väntetid till särskilt boende,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2009,2009,29,Att mäta effektivitet och produktivitet inom vård och omsorg om äldre,xlsx_heading_search,,7,,brukarperspektiv_och_kvalitet
R2009,2009,30,Eftersamtal med närstående,xlsx_heading_search,,7,,ovrigt
R2009,2009,31,Förskrivning av riskfyllda läkemedelskombinationer,xlsx_heading_search,,7,,lakemedel_och_patientsakerhet
R2009,2009,32,Funktionsförmåga tre månader efter stroke,xlsx_heading_search,,7,,jamlikhet_och_minoritetsperspektiv
R2009,2009,33,Hälsotillstånd tre månader efter stroke,xlsx_heading_search,,7,,jamlikhet_och_minoritetsperspektiv
R2009,2009,34,Informerande samtal med döende,xlsx_heading_search,,7,,ovrigt
R2009,2009,35,Kostnad för särskilt boende och för insatser i ordinärt boende,xlsx_heading_search,,7,,omsorgsinsatser_och_boende
R2009,2009,36,Kostnader,xlsx_heading_search,,7,,personal_kompetens_och_resurser
R2009,2009,37,Medicinskt stöd i äldreomsorgen,xlsx_heading_search,,7,,ovrigt
R2009,2009,38,Någon närvarande i dödsögonblicket,xlsx_heading_search,,7,,ovrigt
R2009,2009,39,Omfattning av äldreomsorg,xlsx_heading_search,,7,,ovrigt
R2009,2009,40,Oplanerade inläggningar på sjukhus,xlsx_heading_search,,7,,ovrigt
R2009,2009,41,Personal med eftergymnasial vård- och omsorgsutbildning,xlsx_heading_search,,7,,personal_kompetens_och_resurser
R2009,2009,42,Personal med vård- och omsorgsutbildning på gymnasienivå,xlsx_heading_search,,7,,personal_kompetens_och_resurser
R2009,2009,43,Personalens utbildningsnivå,xlsx_heading_search,,7,,jamlikhet_och_minoritetsperspektiv
R2009,2009,44,Resursindikatorer,xlsx_heading_search,,7,,metod_indikatorer_och_datakallor
R2009,2009,45,Riskfylld användning av läkemedel,xlsx_heading_search,,7,,lakemedel_och_patientsakerhet
R2009,2009,46,Smärtskattning sista levnadsveckan,xlsx_heading_search,,7,,ovrigt
R2009,2009,47,Stöd i livets slutskede,xlsx_heading_search,,7,,ovrigt
R2009,2009,48,Stöd till personer som har drabbats av stroke,xlsx_heading_search,,7,,ovrigt
R2009,2009,49,3. svensK vår D och omsorg om älDre i ett europeisKt perspeKtiv 1,toc,6,8,6,ovrigt
R2009,2009,50,Öppna jämförelser 2009 – vård och omsorg om äldre,xlsx_heading_search,,8,,metod_indikatorer_och_datakallor
R2009,2009,51,sammanFattning,toc,6,8,6,jamlikhet_och_minoritetsperspektiv
R2009,2009,52,Bakgrundsmått,xlsx_heading_search,,23,,brukarperspektiv_och_kvalitet
R2009,2009,53,5. Jäm FÖrelser mellan Kommuner,toc,23,25,6,ovrigt
R2009,2009,54,Jämförelser mellan kommuner,xlsx_heading_search,,25,,ovrigt
R2009,2009,55,1. Kommunens information om äldreomsorgen,toc,24,26,6,brukarperspektiv_och_kvalitet
R2009,2009,56,Brukarnas omdöme om social samvaro och aktiviteter inom särskilt boende,xlsx_heading_search,,26,,omsorgsinsatser_och_boende
R2009,2009,57,Kommunens information om äldreomsorg,toc,24,26,6,brukarperspektiv_och_kvalitet
R2009,2009,58,RESULTATINDIKATORER,toc,24,26,6,metod_indikatorer_och_datakallor
R2009,2009,59,Social omsorg och service,toc,26,28,6,ovrigt
R2009,2009,60,2. Brukarmedverkan i individuell plan,toc,27,29,6,ovrigt
R2009,2009,61,Särskilt boende,toc,29,31,6,omsorgsinsatser_och_boende
R2009,2009,62,3. Brukarnas omdöme om särskilt boende som helhet,toc,30,32,6,omsorgsinsatser_och_boende
R2009,2009,63,4. Brukarnas omdöme om maten inom särskilt boende,toc,32,34,6,omsorgsinsatser_och_boende
R2009,2009,64,5. Brukarnas omdöme om social samvaro och,toc,34,36,6,brukarperspektiv_och_kvalitet
R2009,2009,65,aktiviteter inom särskilt boende 6. Brukarnas omdöme om informationen inom särskilt boende,toc,36,38,6,omsorgsinsatser_och_boende
R2009,2009,66,7. väntetid till särskilt boende,toc,38,40,6,omsorgsinsatser_och_boende
R2009,2009,67,8. Brukarnas omdöme om hemtjänsten som helheten,toc,39,41,6,omsorgsinsatser_och_boende
R2009,2009,68,Ordinärt boende,toc,39,41,6,omsorgsinsatser_och_boende
R2009,2009,69,9. Brukarnas omdöme om maten från hemtjänsten,toc,41,43,6,omsorgsinsatser_och_boende
R2009,2009,70,1 0. Brukarnas omdöme om social samvaro och aktiviteter inom hemtjänsten,toc,43,45,6,omsorgsinsatser_och_boende
R2009,2009,71,11. Brukarnas omdöme om informationen från hemtjänsten,toc,46,48,6,omsorgsinsatser_och_boende
R2009,2009,72,12. personalkontinuitet inom hemtjänsten,toc,47,49,6,omsorgsinsatser_och_boende
R2009,2009,73,Förebyggande insatser,toc,48,50,6,ovrigt
R2009,2009,74,13. Fallskador 48ÖJ09ÄO.inlaga.indd 4 09-10-26 18.10.39 5öppna jämF örelser 2009 – vård och omsorg om äldre Riskfylld användning av läkemedel,toc,53,55,7,lakemedel_och_patientsakerhet
R2009,2009,75,14. s amtidig förskrivning av tio eller fler läkemedel,toc,53,55,7,lakemedel_och_patientsakerhet
R2009,2009,76,Samtidig förskrivning av tio eller fler läkemedel,xlsx_heading_search,,55,,lakemedel_och_patientsakerhet
R2009,2009,77,Samtidig förskrivning av tre eller fler psykofarmaka,xlsx_heading_search,,55,,ovrigt
R2009,2009,78,15. s amtidig förskrivning av tre eller fler psykofarmaka,toc,56,58,7,ovrigt
R2009,2009,79,16 . Förskrivning av riskfyllda läkemedelskombinationer,toc,58,60,7,lakemedel_och_patientsakerhet
R2009,2009,80,Medicinskt stöd i äldreomsorgen,toc,60,62,7,ovrigt
R2009,2009,81,17. oplanerade inläggningar på sjukhus,toc,61,63,7,ovrigt
R2009,2009,82,18 . hälsotillstånd tre månader efter stroke,toc,63,65,7,jamlikhet_och_minoritetsperspektiv
R2009,2009,83,Stöd till personer som har drabbats av stroke,toc,63,65,7,ovrigt
R2009,2009,84,19 . Funktionsförmåga tre månader efter stroke,toc,66,68,7,jamlikhet_och_minoritetsperspektiv
R2009,2009,85,20. andel nöjda med stödet från kommunen eller,toc,68,70,7,brukarperspektiv_och_kvalitet
R2009,2009,86,Avlidna på sjukhus,xlsx_heading_search,,72,,ovrigt
R2009,2009,87,sjukvården efter sjukhusvistelsen Stöd i livets slutskede,toc,70,72,7,kommunal_halso_och_sjukvard
R2009,2009,88,21. Informerande samtal med döende,toc,72,74,7,ovrigt
R2009,2009,89,22. smärtskattning sista levnadsveckan,toc,73,75,7,ovrigt
R2009,2009,90,23. någon närvarande i dödsögonblicket,toc,74,76,7,ovrigt
R2009,2009,91,24. eftersamtal med närstående,toc,75,77,7,ovrigt
R2009,2009,92,25. a vlidna på sjukhus,toc,76,78,7,ovrigt
R2009,2009,93,Avvikelse från standardkostnad,xlsx_heading_search,,81,,ovrigt
R2009,2009,94,Kostnader,toc,79,81,7,personal_kompetens_och_resurser
R2009,2009,95,RESURSINDIKATORER,toc,79,81,7,metod_indikatorer_och_datakallor
R2009,2009,96,26. a vvikelse från standardkostnad,toc,80,82,7,ovrigt
R2009,2009,97,god vård Som indikator på resultatet av det förebyggande arbetet redovisas förekomsten av all- varliga fallskador bland äldre personer. I Sverige lades knappt 60 av 1 000 personer,toc,80,82,10,lakemedel_och_patientsakerhet
R2009,2009,98,27. personal med vård- och omsorgsutbildning på gymnasienivå,toc,82,84,7,personal_kompetens_och_resurser
R2009,2009,99,Personalens utbildningsnivå,toc,82,84,7,jamlikhet_och_minoritetsperspektiv
R2009,2009,100,28. personal med eftergymnasial vård- och omsorgsutbildning,toc,84,86,7,personal_kompetens_och_resurser
R2009,2009,101,BAKgRUNDSMå TT,toc,86,88,7,ovrigt
R2009,2009,102,Kostnad för särskilt boende och för insatser i ordinärt boende,toc,86,88,7,omsorgsinsatser_och_boende
R2009,2009,103,Omfattning av äldreomsorg,toc,88,90,7,ovrigt
R2009,2009,104,6. att mäta eFFeKtivitet och proDuKtivitet inom vårD och omsorg om älDre,toc,90,92,7,brukarperspektiv_och_kvalitet
R2009,2009,105,"personalkontinuitet hade en kommun med i snitt 22 olika personer. Brukarna har angivit ett NKI (Nöjd Kund Index) på 70 för särskilt boende som hel- het, och 73 för hemtjänsten som helhet. NKI är ett värde mellan 0 och 100, där",toc,100,102,10,omsorgsinsatser_och_boende
R2010,2010,1,KapITel,toc,1,1,13,ovrigt
R2010,2010,2,15Öppna jämförelser. Vård och omsorg om äldre 2010. KapITel,toc,2,2,17,metod_indikatorer_och_datakallor
R2010,2010,3,Personal och kompetens,xlsx_heading_search,,5,,personal_kompetens_och_resurser
R2010,2010,4,Riskfylld användning av läkemedel,xlsx_heading_search,,5,,lakemedel_och_patientsakerhet
R2010,2010,5,Tillgänglighet,xlsx_heading_search,,5,,ovrigt
R2010,2010,6,Bemötandet i hemtjänst,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2010,2010,7,Bemötandet i särskilt boende,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2010,2010,8,Eftersamtal med närstående,xlsx_heading_search,,6,,ovrigt
R2010,2010,9,Fallskador,xlsx_heading_search,,6,,lakemedel_och_patientsakerhet
R2010,2010,10,Funktionsförmåga tre månader efter stroke,xlsx_heading_search,,6,,jamlikhet_och_minoritetsperspektiv
R2010,2010,11,Hälsotillstånd tre månader efter stroke,xlsx_heading_search,,6,,jamlikhet_och_minoritetsperspektiv
R2010,2010,12,Hemtjänsten,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2010,2010,13,Hemtjänsten som helhet,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2010,2010,14,Inflytande i hemtjänst,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2010,2010,15,Inflytande inom särskilt boende,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2010,2010,16,Informerande samtal med döende,xlsx_heading_search,,6,,ovrigt
R2010,2010,17,Kommunens information,xlsx_heading_search,,6,,brukarperspektiv_och_kvalitet
R2010,2010,18,Läkemedelsgenomgångar,xlsx_heading_search,,6,,lakemedel_och_patientsakerhet
R2010,2010,19,Maten i hemtjänst,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2010,2010,20,Maten i särskilt boende,xlsx_heading_search,,6,,omsorgsinsatser_och_boende
R2010,2010,21,Någon närvarande i dödsögonblicket,xlsx_heading_search,,6,,ovrigt
R2010,2010,22,Riskbedömning avseende fall,xlsx_heading_search,,6,,lakemedel_och_patientsakerhet
R2010,2010,23,Riskbedömning avseende undernäring,xlsx_heading_search,,6,,lakemedel_och_patientsakerhet
R2010,2010,24,Riskbedömning avseende utveckling av trycksår,xlsx_heading_search,,6,,lakemedel_och_patientsakerhet
